epoch,train_loss,val_loss,val_dice
1,1.8743740849575754,1.689724387349309,0.5095033312367426
2,1.5651881723080652,1.43030448539837,0.5524649442853155
3,1.3224595918493756,1.2172930901115004,0.5962224336894782
4,1.1505797182099293,1.1007177580047298,0.5580381357387917
5,1.0286410539837207,0.9849203253114546,0.5954392753742836
6,0.9289169087248333,0.8840497442193933,0.6246689396935541
7,0.8406499933388274,0.8111072690100283,0.6237957880303666
8,0.7695788718886295,0.7454475748377878,0.6425076990916923
9,0.7047209667957435,0.6826064792033788,0.6601020645450901
10,0.6449144188630379,0.6250033660514934,0.6671911300839605
11,0.5929718502497269,0.5888748825401873,0.6514687034729365
12,0.5542312381631237,0.5450448184399992,0.6810594213169974
13,0.5187905982894413,0.5386974537694776,0.6688101337970914
14,0.49532635535224007,0.4974995009802483,0.6781649303597372
15,0.4706505867384248,0.46905774582882187,0.6878570205456501
16,0.44899546084767683,0.4693939152198869,0.6733522425229485
17,0.4366761216167676,0.4567495298546714,0.6864882872716801
18,0.42171942829075504,0.43296670651919134,0.6964711138122791
19,0.4118744955224506,0.4373180870268796,0.6861630484864518
20,0.40234825290360693,0.44038182215110677,0.6800674258454426
